claim_id,customer_id,claim_date,vehicle_type,damage_category,fault_type,description,estimated_cost_eur,actual_cost_eur,repair_duration_days,status
CLM-000001,CUST-012,2023-05-27,PKW,Elektronik,Fremdverschulden,Klimaanlage funktioniert nicht mehr,1988.07,1583.52,1.0,abgeschlossen
CLM-000002,CUST-002,2023-12-17,LKW,Fahrwerk,Naturereignis,Stoßdämpfer vorne links defekt,2609.48,2595.53,3.0,abgeschlossen
CLM-000003,CUST-002,2025-12-29,PKW,Interieur,Teilschuld,Armaturenbrett hat Riss durch Sonneneinstrahlung,457.83,537.82,1.0,in_bearbeitung
CLM-000004,CUST-028,2024-05-16,Transporter,Karosserie,Eigenverschulden,Seitliche Beschädigung nach Auffahrunfall,1916.21,1683.32,1.0,abgeschlossen
CLM-000005,CUST-029,2023-12-01,PKW,Karosserie,Teilschuld,Heckschaden durch Rückwärtsfahrt gegen Poller,3058.51,3585.48,2.0,abgeschlossen
CLM-000006,CUST-021,2025-08-04,PKW,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,521.52,526.35,1.0,abgeschlossen
CLM-000007,CUST-008,2025-02-16,PKW,Glas,Naturereignis,Heckscheibe durch Vandalismus eingeschlagen,1073.91,1185.56,1.0,abgeschlossen
CLM-000008,CUST-002,2024-07-06,Transporter,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",1874.99,1771.76,2.0,abgeschlossen
CLM-000009,CUST-013,2026-02-14,PKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,1829.14,1852.78,7.0,abgeschlossen
CLM-000010,CUST-010,2024-03-25,Transporter,Motor,Naturereignis,Ungewöhnliche Geräusche aus dem Motorraum,3081.23,1731.03,7.0,abgeschlossen
CLM-000011,CUST-002,2024-10-26,LKW,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,1078.08,1224.26,4.0,abgeschlossen
CLM-000012,CUST-012,2023-04-25,LKW,Karosserie,Teilschuld,Heckschaden durch Rückwärtsfahrt gegen Poller,848.89,720.32,4.0,abgeschlossen
CLM-000013,CUST-002,2024-04-14,PKW,Elektronik,Fremdverschulden,Batterie entlädt sich über Nacht,2339.56,3061.61,5.0,abgeschlossen
CLM-000014,CUST-026,2023-03-07,PKW,Motor,Fremdverschulden,"Turbolader defekt, Leistungsverlust",5321.71,4740.58,5.0,abgeschlossen
CLM-000015,CUST-004,2024-10-08,PKW,Glas,Naturereignis,Seitenscheibe hinten rechts gesprungen,790.93,954.04,1.0,abgeschlossen
CLM-000016,CUST-013,2025-04-01,LKW,Elektronik,Naturereignis,,1242.84,1093.85,1.0,abgeschlossen
CLM-000017,CUST-008,2024-07-02,PKW,Karosserie,Naturereignis,Lackschaden durch Vandalismus am vorderen Kotflügel,2173.35,1862.56,5.0,abgeschlossen
CLM-000018,CUST-012,2023-05-16,LKW,Elektronik,Fremdverschulden,Batterie entlädt sich über Nacht,1825.25,2270.07,5.0,abgeschlossen
CLM-000019,CUST-012,2024-03-08,LKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,3251.72,3128.63,2.0,abgeschlossen
CLM-000020,CUST-002,2024-10-06,PKW,Karosserie,Fremdverschulden,Hagelschaden auf Motorhaube und Dach,2391.06,1830.41,3.0,abgeschlossen
CLM-000021,CUST-029,2024-03-11,PKW,Fahrwerk,Naturereignis,Stoßdämpfer vorne links defekt,3213.92,3176.4,2.0,storniert
CLM-000022,CUST-019,2025-10-19,PKW,Fahrwerk,Vandalismus,Stoßdämpfer vorne links defekt,1888.34,2792.79,,abgeschlossen
